"Nation","Winning clubs (in order of first win)","Number of winners"
"England","Manchester United, Liverpool, Nottingham Forest, Aston Villa, Chelsea, Manchester City",6
"Italy","Milan, Inter Milan, Juventus",3
"Germany","Bayern Munich, Hamburger SV, Borussia Dortmund",3
"Netherlands","Feyenoord, Ajax, PSV Eindhoven",3
"Spain","Real Madrid, Barcelona",2
"Portugal","Benfica, Porto",2
"France","Marseille, Paris Saint-Germain",2
"Scotland","Celtic",1
"Romania","Steaua București",1
"Yugoslavia","Red Star Belgrade",1
