"Club","Titles","Runners-up","Seasons won","Seasons runner-up"
"Lyon",8,3,"2011, 2012, 2016, 2017, 2018, 2019, 2020, 2022","2010, 2013, 2024"
"Eintracht Frankfurt",4,2,"2002, 2006, 2008, 2015","2004, 2012"
"Barcelona",3,3,"2021, 2023, 2024","2019, 2022, 2025"
"VfL Wolfsburg",2,4,"2013, 2014","2016, 2018, 2020, 2023"
"Umeå",2,3,"2003, 2004","2002, 2007, 2008"
"Turbine Potsdam",2,2,"2005, 2010","2006, 2011"
"Arsenal",2,0,"2007, 2025",""
"FCR Duisburg",1,0,"2009",""
"Paris Saint-Germain",0,2,"","2015, 2017"
"Fortuna Hjørring",0,1,"","2003"
"Djurgården",0,1,"","2005"
"Zvezda Perm",0,1,"","2009"
"Tyresö",0,1,"","2014"
"Chelsea",0,1,"","2021"
